RegionID,SizeRank,RegionName,RegionType,StateName,11/4/2017,11/11/2017,11/18/2017,11/25/2017,12/2/2017,12/9/2017,12/16/2017,12/23/2017,12/30/2017,1/6/2018,1/13/2018,1/20/2018,1/27/2018,2/3/2018,2/10/2018,2/17/2018,2/24/2018,3/3/2018,3/10/2018,3/17/2018,3/24/2018,3/31/2018,4/7/2018,4/14/2018,4/21/2018,4/28/2018,5/5/2018,5/12/2018,5/19/2018,5/26/2018,6/2/2018,6/9/2018,6/16/2018,6/23/2018,6/30/2018,7/7/2018,7/14/2018,7/21/2018,7/28/2018,8/4/2018,8/11/2018,8/18/2018,8/25/2018,9/1/2018,9/8/2018,9/15/2018,9/22/2018,9/29/2018,10/6/2018,10/13/2018,10/20/2018,10/27/2018,11/3/2018,11/10/2018,11/17/2018,11/24/2018,12/1/2018,12/8/2018,12/15/2018,12/22/2018,12/29/2018,1/5/2019,1/12/2019,1/19/2019,1/26/2019,2/2/2019,2/9/2019,2/16/2019,2/23/2019,3/2/2019,3/9/2019,3/16/2019,3/23/2019,3/30/2019,4/6/2019,4/13/2019,4/20/2019,4/27/2019,5/4/2019,5/11/2019,5/18/2019,5/25/2019,6/1/2019,6/8/2019,6/15/2019,6/22/2019,6/29/2019,7/6/2019,7/13/2019,7/20/2019,7/27/2019,8/3/2019,8/10/2019,8/17/2019,8/24/2019,8/31/2019,9/7/2019,9/14/2019,9/21/2019,9/28/2019,10/5/2019,10/12/2019,10/19/2019,10/26/2019,11/2/2019,11/9/2019,11/16/2019,11/23/2019,11/30/2019,12/7/2019,12/14/2019,12/21/2019,12/28/2019,1/4/2020,1/11/2020,1/18/2020,1/25/2020,2/1/2020,2/8/2020,2/15/2020,2/22/2020,2/29/2020,3/7/2020,3/14/2020,3/21/2020,3/28/2020,4/4/2020,4/11/2020,4/18/2020,4/25/2020,5/2/2020,5/9/2020,5/16/2020,5/23/2020,5/30/2020,6/6/2020,6/13/2020,6/20/2020,6/27/2020,7/4/2020,7/11/2020,7/18/2020,7/25/2020,8/1/2020,8/8/2020,8/15/2020,8/22/2020,8/29/2020,9/5/2020,9/12/2020,9/19/2020,9/26/2020,10/3/2020,10/10/2020,10/17/2020,10/24/2020,10/31/2020,11/7/2020,11/14/2020,11/21/2020,11/28/2020,12/5/2020,12/12/2020,12/19/2020,12/26/2020,1/2/2021,1/9/2021,1/16/2021,1/23/2021,1/30/2021,2/6/2021,2/13/2021,2/20/2021,2/27/2021,3/6/2021,3/13/2021,3/20/2021,3/27/2021,4/3/2021,4/10/2021,4/17/2021,4/24/2021,5/1/2021,5/8/2021,5/15/2021,5/22/2021,5/29/2021,6/5/2021,6/12/2021,6/19/2021,6/26/2021,7/3/2021,7/10/2021,7/17/2021,7/24/2021,7/31/2021,8/7/2021,8/14/2021,8/21/2021,8/28/2021,9/4/2021,9/11/2021,9/18/2021,9/25/2021,10/2/2021,10/9/2021,10/16/2021,10/23/2021,10/30/2021,11/6/2021,11/13/2021,11/20/2021,11/27/2021,12/4/2021,12/11/2021,12/18/2021,12/25/2021,1/1/2022,1/8/2022,1/15/2022,1/22/2022,1/29/2022,2/5/2022,2/12/2022,2/19/2022,2/26/2022,3/5/2022,3/12/2022,3/19/2022,3/26/2022,4/2/2022,4/9/2022,4/16/2022,4/23/2022,4/30/2022,5/7/2022,5/14/2022,5/21/2022,5/28/2022,6/4/2022,6/11/2022,6/18/2022,6/25/2022,7/2/2022
102001,0,United States,Country,,278111,278086,278061,277555,276291,275050,273786,273002,272749,272499,272271,272271,272524,273763,275280,277075,279578,281120,283648,286427,288955,291458,293734,295506,297711,300011,301503,302742,303066,303293,303293,303293,303293,303293,303293,303293,303293,303286,303076,302849,302621,302401,302257,302001,301470,301190,300937,300707,300479,299824,299192,298666,298414,298312,297680,296414,295124,293860,293203,292952,292725,292371,292143,292245,292472,292851,294343,295759,,300461,301726,302990,304760,307389,310195,313988,316263,318564,320814,322078,324227,325719,326983,328222,328576,328475,327742,326503,325261,324098,323536,323284,322275,321036,319803,318536,317247,315983,314744,313710,313457,313330,313078,312317,311075,308673,306398,304631,303344,303318,303066,302838,302358,301710,301454,301442,301695,302241,302724,302989,304445,306594,309147,312940,315758,317527,318792,318792,319163,320301,321565,324094,326149,328778,331812,334340,337754,340054,342052,343291,343522,343775,343800,343825,343847,343847,343847,343847,343847,343847,343847,343847,343847,343847,343821,343796,343771,343265,342026,340788,339043,337144,335878,334487,332970,331582,330321,329183,328677,328758,329086,330571,332901,335626,339379,342975,345963,349485,352985,356360,360816,364793,368061,371186,372993,375268,377225,378450,379675,379925,379950,379950,379725,379700,379450,378975,377975,376750,375750,375000,375000,374975,374975,374975,374975,375000,375000,375000,375000,374975,374950,374325,373075,371825,370575,369675,368425,367200,365975,365875,367100,369098,371598,374223,376748,379975,383725,387950,392700,396200,398700,402200,406200,410976,417226,422001,425751,430575,434325,438312,442812,445488,447738,448750
394913,1,"New York, NY",Msa,NY,517780,517780,516501,512664,511640,511614,511589,511564,511538,511538,511538,511564,511589,515452,521617,528013,534409,537990,540804,544386,547967,550755,552035,554593,557151,559479,561909,562139,562393,562649,562776,562802,562805,562805,562805,562779,562753,562498,562242,562012,561781,561781,561781,561781,561781,561781,561781,561781,561781,561781,561781,561781,561781,561525,560502,,,,551750,550497,548194,545866,543337,542032,543285,545613,548402,552265,555872,558430,560988,562267,562523,563802,566130,569942,574009,577847,580405,581454,582757,584267,585802,587336,588361,587107,585573,584038,582503,581479,580456,579433,578409,576874,575593,574311,573032,574311,576616,578921,581224,582247,582247,582247,581991,580968,579945,579433,579689,580456,581454,581966,581710,581740,580743,579719,578952,578154,578921,580072,582631,586442,592045,598568,602917,606524,606549,605245,604708,603659,603659,604836,604861,607189,609492,610643,612945,613188,614723,619584,624700,631108,637248,640293,643107,645665,648223,650551,652853,653877,655156,655412,655930,656463,655970,656500,656767,657020,657020,657020,657020,657146,657374,657602,657855,657982,658007,658032,658032,658274,658766,656758,,665000,668750,675000,675000,675000,675000,675000,676000,677000,677000,677000,676694,675694,674194,671694,667000,663000,658250,654500,652248,649748,649498,649248,648625,646375,645375,642875,640750,640500,639000,639000,639000,639000,637975,635725,635725,635725,636750,639000,638000,637000,637250,638000,641500,645125,647623,649623,649873,652248,656750,662250,669500,674500,677500,680500,682750,685250,687500,688750,688750,688750,689000,689250,689500,689500,689250,689000,689000,688000,685725,683225
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,837946,837946,837724,837724,837946,838181,838427,838674,838699,838711,838711,838711,839175,842875,845317,850004,855707,861628,871273,878673,884594,887282,889996,893943,894189,896928,900628,900610,900610,897896,891704,887775,887529,887282,886814,884347,880893,876436,870762,864842,856208,848554,842140,835973,831533,829066,826599,824132,823343,820654,818409,818163,817201,814734,811996,807309,803633,798946,794296,791583,788869,787636,787402,787402,787402,788388,788610,792557,798971,806618,817743,826352,832519,841893,849294,856472,866043,871470,877143,882077,884815,887282,889996,894905,901072,907238,909952,909977,908768,907535,907041,908497,908472,908198,908444,906940,905213,905241,900553,895891,892709,892943,899111,905302,911469,912715,911975,910739,911479,913403,914883,917106,917575,918857,919595,922012,924257,926971,931413,934670,946017,957364,969698,981538,984992,976333,963999,946732,929465,921705,918251,919732,924665,929983,939850,952924,965011,977345,993379,1008427,1028408,1050362,1064916,1077250,1086128,1095009,1101423,1106109,1102412,1095998,1089557,1083636,1083636,1083636,1083664,1084651,1084429,1086895,1090842,1099969,1112496,1123843,1132477,1137411,1139907,1148541,1155941,1162459,1167990,1166691,1166859,1167554,1172624,1177374,1180624,1182000,1181666,1178790,1179290,1175262,1162571,1155697,1148197,1145725,1149500,1141000,1138500,1138475,1132225,1128475,1118225,1105750,1095589,1083089,1069589,1044589,1023200,1009575,992075,986075,980125,973750,973750,973750,973750,977500,982500,988250,993250,996470,997220,996470,994970,993000,990500,989113,991363,996488,999238,1001625,1002125,999500,1003612,1006362,1006363,1013863,1022500,1035125,1053875,1065125,1073875,1077500,1076750,1070500,1068000,1070000,1070750,1073250,1070750,1062500,1060750,1058250,1054250,1048000
394463,3,"Chicago, IL",Msa,IL,318829,317570,315843,314091,311623,308933,305749,302072,299579,297334,296075,297037,299505,303232,308168,314362,319323,325369,331563,336721,341633,344224,346914,349160,351405,353849,354836,355058,355280,355305,355329,355329,355107,352639,350172,347704,345458,345211,344717,343508,341534,339288,337289,336030,335315,334722,333513,332279,330033,328158,326677,324234,323025,321791,319569,318311,316830,314387,312659,310191,307616,305148,303913,303938,305526,,313153,317842,321544,326257,330919,334979,339791,342482,344236,346568,348905,351151,353595,354804,354935,355157,355157,354959,354589,353355,350912,348691,346692,345458,345211,344693,343459,341016,338770,336795,335339,334969,333982,332748,331132,329009,327424,325474,323636,322402,320532,318780,317521,315942,314239,313005,311302,309866,309469,309493,310805,312587,315452,319129,323247,328182,331884,335833,339288,341164,342398,341559,339829,339187,339187,340791,342743,343977,345211,347185,349653,352121,355798,358513,360759,363227,364461,364954,365176,365201,366410,367644,368878,369865,369791,368557,367101,365843,363474,361006,358760,355798,353330,350863,348419,346716,345482,345458,345211,344434,344212,344030,344112,344763,344883,345962,347125,348350,349600,349850,349975,350000,350000,350769,352268,353493,355743,357449,358450,360725,362200,362225,361975,360725,359250,358000,355750,353500,351250,349975,349725,348475,345975,343475,340975,338475,337200,335950,334925,334500,333250,332000,330720,329131,327906,326679,324234,322498,321223,319723,318473,317198,315973,314975,315975,317225,318475,320975,323475,326000,329725,333225,335950,338425,340900,343400,345900,348425,350975,353225,355500,357750,358750,359250,359475,359700,359925,359675
394514,4,"Dallas-Fort Worth, TX",Msa,TX,341664,340920,339679,338416,338099,337604,338820,339588,340083,341322,341322,341817,342833,344047,345310,347267,349002,351256,353708,355467,356458,357920,360174,362627,365079,366318,367068,367068,366969,366498,364757,363271,360893,358663,356805,354229,351776,349522,347639,346524,345286,344047,342808,341322,340059,338820,338261,337493,337493,337493,336813,336838,336860,336860,336637,336390,336144,335443,334452,333462,332446,331908,331661,330926,330704,330728,331686,333634,335120,337573,340331,342808,345286,346549,347409,348672,350902,353354,355220,356458,357449,357474,357474,357449,356458,355443,352965,350513,348283,346797,346772,346524,345781,344746,343532,342541,342046,341780,341656,341408,340913,340752,340220,340408,340879,340631,340789,339610,338396,337653,336798,335687,334423,333160,331540,331119,331141,331166,332405,333689,334906,336120,336863,338349,339613,340133,339885,338646,337395,336900,337875,340105,342570,345047,347763,349472,351727,354179,355443,356458,357201,358323,358818,360032,360751,360462,360709,360709,360734,361162,361757,361779,361812,361393,360848,360404,359700,359450,358723,358123,358039,358039,358039,357664,356495,355245,354495,353810,354062,354913,356165,357825,360106,362504,364251,366556,368523,370523,373166,375861,377864,381091,384425,387279,391029,393052,395327,397473,398698,399450,399450,399225,399225,399450,399700,399948,399973,400245,400609,401859,403609,405612,407293,408338,408835,408335,407540,407245,407498,409473,411973,414257,416004,417254,418502,419220,421198,422527,424140,425140,425140,425085,425973,427720,428745,431170,435422,442400,450125,456947,461448,464198,467723,470975,474725,479500,483500,487100,490354,491854,493104,494504,496000,496000
394974,5,"Philadelphia, PA",Msa,PA,272419,271159,269874,268332,265786,264244,261699,259385,257843,256558,256301,255786,255915,256146,256378,256892,258306,260645,263216,266429,269000,271571,274141,276044,277329,278846,280157,282625,285170,286481,288280,289694,291005,292933,293704,293704,293704,292779,291468,289926,287869,285581,284295,283241,282702,282676,282676,282676,282702,282728,282753,282753,282728,281416,280054,277740,275195,272650,270131,267791,265195,262625,260079,258331,257072,257072,257072,258357,260671,263216,267069,270668,273470,276067,278614,280388,282959,285527,288123,291491,294010,296558,297818,298075,299411,300723,302086,303371,303397,303397,303345,303345,303319,302548,301262,299977,299725,300496,301782,304070,305376,306147,306147,305144,304116,302572,301801,300516,299205,298435,296635,295324,293525,291980,291954,290694,289949,290337,291108,293653,296198,298255,300080,301391,303730,304501,305273,306301,306301,307432,307921,309437,312239,316121,321263,326404,330286,333625,335965,337250,338535,341366,343911,346250,348795,348795,348821,348821,347561,346404,344862,343833,343964,344449,345594,344475,343225,341500,339500,338250,335750,333250,329750,327250,325975,324950,324925,324173,323948,323948,323948,324700,324950,325223,326248,326248,327373,329625,331125,334875,338750,341250,343750,345000,343750,343725,344725,345475,347725,348750,347750,345750,342925,339425,335675,333150,330975,329475,329225,329000,329225,329225,329450,329700,329725,331200,331973,331948,330698,329223,327225,327000,327000,326000,326000,323750,322475,320975,319725,319225,318000,315750,314475,313725,313700,314950,314975,314975,314975,314975,314975,316225,317475,318700,322425,324925,327450,332450,334950,337200,339675,339675,339675,339900
394692,6,"Houston, TX",Msa,TX,316101,316830,316855,316857,316859,316862,316862,316862,316862,316862,316862,316862,317593,318568,319784,321303,322858,324321,326273,328165,329291,330486,330973,331218,331547,332547,333765,335247,336381,336624,336624,336361,336171,334952,333709,332003,329756,328513,326100,324125,322663,321225,320737,320152,319177,318202,317469,316786,316543,315324,314108,312962,311987,311963,311938,311695,311329,310866,310525,310353,310231,310131,309824,309497,309740,310206,310854,311597,311968,313306,314549,316742,319029,320247,322197,323635,324878,326831,328293,329046,329753,329510,328535,327806,327099,325427,324184,322721,321235,319982,318787,317788,316082,314863,313644,312450,311962,311841,311597,311573,311573,311692,311911,311854,311635,311150,309955,308818,307843,307088,306576,305357,304139,302944,302237,302237,302237,302237,303333,304536,305755,307217,308535,309769,311695,312670,312694,312694,311984,312062,313281,315231,317646,320006,322419,324125,326221,328415,329634,330731,330853,331096,332058,333193,334409,335628,336129,337309,338750,339944,340943,341187,341260,341473,341673,341861,342004,342254,342743,342245,341993,341355,340246,340221,339436,338200,337221,336483,336520,337521,338586,339349,340263,340912,342656,345156,348241,350964,353743,356240,358493,361495,364245,366995,369630,372880,375880,379108,381470,382830,383174,382321,381571,380711,380118,379970,379595,379470,379095,378309,377684,376832,376425,376883,377636,378414,378949,379026,378276,377713,377338,377088,377085,377032,377005,376777,376755,376320,375723,375225,375157,376382,377632,379379,381720,383995,387245,390536,394039,396759,398484,399695,399945,401225,403750,406225,408725,411225,413725,416250,418750,419975,418725,417697
395209,7,"Washington, DC",Msa,DC,473721,469971,463720,457220,450223,445223,442475,439200,437450,436100,435100,435625,436875,438250,440750,443725,446225,450200,455025,460025,465775,470500,471913,471935,471483,471033,472295,474773,476975,483475,489700,494723,499722,499970,499982,499960,499710,498463,496223,493498,489995,485995,481998,477248,473475,472350,472350,473588,474265,473140,471890,470627,469722,468222,465720,462995,459498,455998,453500,451225,449950,449447,449423,449423,449448,451200,453700,457475,462225,467225,472225,477200,482450,488250,493025,496775,499250,499675,499900,499900,499925,499950,499963,499963,499938,499913,499900,499675,498450,495975,493475,491200,488700,487425,486200,484975,484975,486238,487488,488738,491213,492475,492548,492547,491297,490022,489925,489675,489200,487975,485500,483248,480499,478746,478721,478720,481718,485810,490335,495312,498815,503975,510700,516975,522700,526175,526200,526175,524675,522200,520950,520975,524477,529702,536452,542699,547848,553373,558873,563625,566250,566975,564725,562473,561223,559973,559973,559950,557450,554972,552472,549997,549997,549975,549957,549707,547207,544607,540850,536200,533700,531325,530075,529600,528350,527100,526100,524975,523663,522388,520888,521138,522450,523975,525250,525250,525475,527498,531223,534848,540620,544348,546748,549123,548125,548125,548225,547075,548075,548075,548075,549225,546450,544175,540450,535675,533675,530950,528698,527473,526248,525248,526250,527475,529660,530908,530658,530558,529598,529600,530098,530198,528973,528546,528161,528174,529424,530985,532370,535374,539808,543647,548625,553108,557425,562200,567225,571000,574500,577250,579750,585750,589736,592236,595961,596186,597425,599925,603698,607473,611248,614998,615000,614998
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,473736,473993,474790,474764,476075,477334,477331,477331,477072,475813,475019,473734,473711,474970,476280,477590,477873,478927,480211,481496,484040,485581,487894,490437,491748,493032,493289,493289,493032,492775,492750,492518,492518,491491,490232,489204,486892,485581,484168,482626,481342,478798,476332,473762,472221,470936,468392,466080,463742,462431,462174,461917,461686,461198,460170,459143,458115,457318,457293,457293,457293,458089,458115,456830,455545,453464,452180,452180,453464,455802,458295,460838,462123,462379,462457,462482,462997,464256,466568,468880,470930,472240,473782,474553,474559,475073,475047,475792,477077,477847,477873,477899,477899,477899,477087,475802,474518,473207,472477,472221,471964,471732,471732,471732,471732,471963,472066,472066,472066,471835,471732,471964,472195,472452,472683,472452,472220,472220,472246,472503,474045,476100,478670,,485093,485607,484322,480211,475073,471219,469870,469870,470897,473467,476100,480211,485350,489204,494086,499224,504363,509245,512069,515923,520033,525172,530056,532626,533911,534168,535683,536968,538374,541078,542003,543423,544721,544461,543656,541060,536906,533271,531995,530697,532254,534072,533816,534953,534891,534408,533454,533651,533750,535500,539480,542980,546480,548480,549500,552250,557500,563500,569750,574500,578250,578999,579999,578999,576499,574500,572225,570950,569450,568450,565975,564725,563475,561936,559436,556461,555436,557975,564225,569725,574725,577450,577450,578698,578473,578248,578248,577000,576000,576250,578750,582250,587250,591000,593500,595000,596000,597250,603500,614500,627250,639750,652998,660748,668248,678248,684750,692000,696750,699250,705750,712250,722375,734625,740850,747100,749721,749946,749721,747196
394347,9,"Atlanta, GA",Msa,GA,301109,302045,302661,303295,304362,305095,305290,304859,304270,304733,305490,306772,308605,309972,312167,314366,316806,319099,321758,325296,327980,332255,335915,338452,340892,342716,344509,345753,346948,347461,347644,347644,347181,345473,343521,340959,337788,335226,332542,331054,329834,328468,327223,325662,324418,323442,322246,321361,320165,318970,317994,317171,317171,317147,316659,315439,314195,312975,312199,311589,310839,310107,308931,308321,307852,307388,308120,309315,310560,312975,314683,317123,320294,322758,326174,328850,331778,335194,337853,340081,341301,341545,341569,341569,341569,341545,341520,341230,340490,339295,337366,335217,333492,332248,331737,331713,331615,331029,329834,328512,326900,325070,323850,322756,322036,322036,322036,322036,322027,321905,321500,320982,319787,318689,317874,317171,317171,317171,317413,318389,319584,320804,322978,325150,327367,329210,329234,327307,325089,323247,323247,325442,327882,330322,333138,335699,338164,340603,342667,344985,347400,350101,352297,353736,354956,355915,356819,358039,359449,360644,361180,361180,361104,360996,361019,361479,361787,362526,362370,361802,361271,360533,360533,359298,357816,356557,355756,355509,355602,355719,356380,358973,361598,365075,368319,370816,373191,378214,384995,392498,,,408475,410064,410394,410791,412471,414507,416153,417682,417999,417599,417724,418073,417575,416708,415833,413583,413558,413698,413005,413418,412865,412867,413585,413504,412833,411558,410283,409925,409900,409675,408060,407332,406107,404832,403972,402225,400975,399975,399950,399700,399200,398975,398975,399150,399650,400125,401900,402253,404753,408278,410278,,418750,421250,424975,428694,431169,434919,439819,443350,445875,445875
